nohup: ignoring input
synthetic_100.txt 156794 version: v5
synthetic_109.txt 120045 version: v1
synthetic_68.txt 268333 version: v1
synthetic_135.txt 217206 version: v1
synthetic_130.txt 226911 version: v2
synthetic_101.txt 152994 version: v2
synthetic_138.txt 197496 version: v2
synthetic_44.txt 280437 version: v2
synthetic_89.txt 9015 version: v3
synthetic_129.txt 65748 version: v3
synthetic_117.txt 15959081 version: v3
synthetic_65.txt 132057 version: v3
synthetic_132.txt 1476857 version: v3
synthetic_45.txt 1063158 version: v4
b_read_on.txt 5822900 version: v4
synthetic_117.txt 15959081 version: v5
synthetic_84.txt 78976 version: v5
synthetic_102.txt 92691 version: v5
synthetic_130.txt 226911 version: v1
synthetic_104.txt 6603896 version: v1
synthetic_47.txt 6788341 version: v1
synthetic_86.txt 1869245 version: v2
synthetic_1.txt 267587 version: v2
synthetic_15.txt 49747 version: v2
synthetic_40.txt 236992 version: v3
synthetic_101.txt 152994 version: v3
synthetic_138.txt 197496 version: v3
synthetic_76.txt 223621 version: v3
synthetic_137.txt 129405 version: v4
synthetic_101.txt 152994 version: v4
synthetic_50.txt 142479 version: v4
synthetic_87.txt 2968199 version: v4
synthetic_70.txt 249881 version: v5
synthetic_104.txt 6603896 version: v5
synthetic_6.txt 82908 version: v5
internet_archive_bulk_scanning.txt 14967982 version: v1
synthetic_51.txt 126759 version: v1
synthetic_134.txt 131286 version: v1
synthetic_8.txt 213202 version: v1
synthetic_57.txt 81047 version: v2
synthetic_119.txt 258437 version: v2
synthetic_97.txt 46694254 version: v2
synthetic_96.txt 366595 version: v3
synthetic_105.txt 8490233 version: v3
synthetic_60.txt 18651743 version: v3
synthetic_71.txt 95460 version: v4
synthetic_105.txt 8490233 version: v4
synthetic_47.txt 6788341 version: v4
synthetic_55.txt 65074 version: v5
synthetic_119.txt 258437 version: v5
synthetic_112.txt 169254 version: v5
synthetic_53.txt 291277 version: v5
synthetic_57.txt 81047 version: v1
synthetic_39.txt 232545 version: v1
synthetic_138.txt 197496 version: v1
synthetic_84.txt 78976 version: v1
synthetic_60.txt 18651743 version: v1
synthetic_39.txt 232545 version: v2
synthetic_125.txt 330735 version: v2
synthetic_88.txt 115353 version: v2
synthetic_7.txt 14286734 version: v2
synthetic_133.txt 9977291 version: v3
synthetic_23.txt 261720 version: v3
synthetic_100.txt 156794 version: v3
synthetic_52.txt 154127 version: v4
synthetic_108.txt 9614939 version: v4
synthetic_116.txt 27869014 version: v4
synthetic_14.txt 17852 version: v5
synthetic_96.txt 366595 version: v5
synthetic_107.txt 225474 version: v5
synthetic_98.txt 213869 version: v5
synthetic_85.txt 2597661 version: v5
synthetic_92.txt 113425 version: v5
synthetic_48.txt 231592 version: v1
synthetic_41.txt 3884976 version: v1
synthetic_42.txt 29428308 version: v1
synthetic_108.txt 9614939 version: v2
synthetic_69.txt 79479 version: v2
synthetic_80.txt 137454 version: v2
new_york_public_library_system.txt 22529377 version: v2
synthetic_126.txt 658436 version: v3
synthetic_104.txt 6603896 version: v3
synthetic_102.txt 92691 version: v3
synthetic_130.txt 226911 version: v4
synthetic_128.txt 258408 version: v4
synthetic_115.txt 345277 version: v4
synthetic_35.txt 163375 version: v4
synthetic_65.txt 132057 version: v4
synthetic_60.txt 18651743 version: v4
synthetic_86.txt 1869245 version: v5
synthetic_64.txt 94393 version: v5
synthetic_82.txt 93157 version: v5
synthetic_46.txt 26857717 version: v5
synthetic_91.txt 2362312 version: v1
synthetic_26.txt 226322 version: v1
b_read_on.txt 5822900 version: v1
synthetic_117.txt 15959081 version: v2
synthetic_65.txt 132057 version: v2
synthetic_123.txt 184593 version: v2
synthetic_58.txt 33127 version: v3
synthetic_136.txt 186737 version: v3
synthetic_106.txt 41693379 version: v3
f_libraries_of_the_world.txt 5348248 version: v3
synthetic_55.txt 65074 version: v4
synthetic_106.txt 41693379 version: v4
synthetic_100.txt 156794 version: v4
synthetic_73.txt 207169 version: v5
d_tough_choices.txt 5028530 version: v5
synthetic_113.txt 47211 version: v1
synthetic_3.txt 699047 version: v1
synthetic_97.txt 46694254 version: v1
c_incunabula.txt 5689822 version: v2
synthetic_56.txt 956107 version: v2
synthetic_91.txt 2362312 version: v3
d_tough_choices.txt 5028530 version: v3
synthetic_121.txt 48041 version: v5
synthetic_128.txt 258408 version: v5
synthetic_115.txt 345277 version: v5
synthetic_103.txt 2933849 version: v5
synthetic_132.txt 1476857 version: v5
e_so_many_books.txt 5054586 version: v1
synthetic_29.txt 116926 version: v1
synthetic_88.txt 115353 version: v1
synthetic_18.txt 17024293 version: v1
synthetic_3.txt 699047 version: v2
synthetic_74.txt 60018 version: v2
synthetic_16.txt 30581672 version: v2
synthetic_108.txt 9614939 version: v3
synthetic_116.txt 27869014 version: v3
synthetic_14.txt 17852 version: v4
synthetic_110.txt 3349547 version: v4
synthetic_46.txt 26857717 version: v4
synthetic_89.txt 9015 version: v5
oxford_bodleian_archives.txt 7979867 version: v5
synthetic_125.txt 330735 version: v5
synthetic_47.txt 6788341 version: v5
synthetic_121.txt 48041 version: v1
synthetic_101.txt 152994 version: v1
synthetic_131.txt 308804 version: v1
synthetic_92.txt 113425 version: v1
synthetic_121.txt 48041 version: v2
synthetic_5.txt 28639 version: v2
synthetic_133.txt 9977291 version: v2
synthetic_112.txt 169254 version: v2
synthetic_54.txt 13231364 version: v2
synthetic_86.txt 1869245 version: v3
synthetic_107.txt 225474 version: v3
synthetic_46.txt 26857717 version: v3
synthetic_121.txt 48041 version: v4
synthetic_126.txt 658436 version: v4
synthetic_103.txt 2933849 version: v4
synthetic_123.txt 184593 version: v4
synthetic_108.txt 9614939 version: v5
synthetic_30.txt 2282117 version: v5
synthetic_32.txt 69150 version: v5
synthetic_7.txt 14286734 version: v5
synthetic_43.txt 94235 version: v1
synthetic_133.txt 9977291 version: v1
synthetic_77.txt 10033866 version: v1
synthetic_40.txt 236992 version: v2
synthetic_139.txt 117382 version: v2
synthetic_115.txt 345277 version: v2
synthetic_35.txt 163375 version: v2
synthetic_32.txt 69150 version: v2
synthetic_134.txt 131286 version: v2
synthetic_47.txt 6788341 version: v2
synthetic_39.txt 232545 version: v3
appalachian_regional_project.txt 78464 version: v3
synthetic_37.txt 15876 version: v3
synthetic_8.txt 213202 version: v3
synthetic_96.txt 366595 version: v4
synthetic_1.txt 267587 version: v4
synthetic_98.txt 213869 version: v4
synthetic_16.txt 30581672 version: v4
synthetic_5.txt 28639 version: v5
synthetic_90.txt 177823 version: v5
synthetic_1.txt 267587 version: v5
synthetic_51.txt 126759 version: v5
synthetic_120.txt 187715 version: v5
synthetic_124.txt 152432 version: v5
synthetic_5.txt 28639 version: v1
synthetic_136.txt 186737 version: v1
synthetic_119.txt 258437 version: v1
synthetic_112.txt 169254 version: v1
synthetic_54.txt 13231364 version: v1
synthetic_28.txt 144799 version: v2
synthetic_103.txt 2933849 version: v2
synthetic_8.txt 213202 version: v2
synthetic_43.txt 94235 version: v3
synthetic_28.txt 144799 version: v3
synthetic_35.txt 163375 version: v3
synthetic_16.txt 30581672 version: v3
synthetic_5.txt 28639 version: v4
synthetic_136.txt 186737 version: v4
synthetic_104.txt 6603896 version: v4
synthetic_27.txt 30573085 version: v4
synthetic_71.txt 95460 version: v5
synthetic_4.txt 31581 version: v5
synthetic_35.txt 163375 version: v5
synthetic_16.txt 30581672 version: v5
synthetic_17.txt 108058 version: v1
synthetic_95.txt 171405 version: v1
synthetic_72.txt 104862 version: v1
synthetic_23.txt 261720 version: v1
synthetic_38.txt 247504 version: v1
synthetic_67.txt 6651708 version: v2
synthetic_24.txt 11035511 version: v2
synthetic_100.txt 156794 version: v2
synthetic_49.txt 105309 version: v3
synthetic_73.txt 207169 version: v3
synthetic_41.txt 3884976 version: v3
synthetic_13.txt 208710 version: v3
synthetic_54.txt 13231364 version: v3
synthetic_86.txt 1869245 version: v4
synthetic_61.txt 128454 version: v4
synthetic_4.txt 31581 version: v4
synthetic_138.txt 197496 version: v4
synthetic_120.txt 187715 version: v4
synthetic_7.txt 14286734 version: v4
synthetic_36.txt 163108 version: v5
synthetic_61.txt 128454 version: v5
synthetic_105.txt 8490233 version: v5
synthetic_27.txt 30573085 version: v5
synthetic_52.txt 154127 version: v1
synthetic_28.txt 144799 version: v1
synthetic_24.txt 11035511 version: v1
synthetic_78.txt 1172441 version: v1
synthetic_136.txt 186737 version: v2
synthetic_62.txt 205966 version: v2
synthetic_98.txt 213869 version: v2
synthetic_92.txt 113425 version: v2
synthetic_22.txt 121336 version: v3
oxford_bodleian_archives.txt 7979867 version: v3
synthetic_82.txt 93157 version: v3
synthetic_20.txt 29609807 version: v3
synthetic_59.txt 104400 version: v4
synthetic_39.txt 232545 version: v4
synthetic_125.txt 330735 version: v4
synthetic_85.txt 2597661 version: v4
synthetic_81.txt 211648 version: v4
synthetic_67.txt 6651708 version: v5
synthetic_24.txt 11035511 version: v5
synthetic_60.txt 18651743 version: v5
synthetic_128.txt 260023 version: v1
synthetic_79.txt 93566 version: v1
synthetic_132.txt 1476857 version: v1
synthetic_45.txt 1063158 version: v2
vatican_secret_archives_project.txt 2544059 version: v2
synthetic_53.txt 291277 version: v2
synthetic_34.txt 6065254 version: v3
synthetic_29.txt 116926 version: v3
synthetic_11.txt 299825 version: v3
synthetic_90.txt 177823 version: v4
synthetic_122.txt 195177 version: v4
synthetic_42.txt 29428308 version: v4
internet_archive_bulk_scanning.txt 14967982 version: v5
synthetic_29.txt 116926 version: v5
synthetic_134.txt 131286 version: v5
f_libraries_of_the_world.txt 5348248 version: v5
synthetic_73.txt 207169 version: v1
synthetic_61.txt 128454 version: v1
synthetic_4.txt 31581 version: v1
synthetic_82.txt 93157 version: v1
synthetic_116.txt 27869014 version: v1
synthetic_99.txt 144539 version: v2
synthetic_43.txt 94235 version: v2
synthetic_83.txt 21618653 version: v2
synthetic_2.txt 20774343 version: v2
synthetic_109.txt 120045 version: v3
synthetic_45.txt 1063158 version: v3
synthetic_7.txt 14286734 version: v3
synthetic_3.txt 699047 version: v4
synthetic_32.txt 69150 version: v4
synthetic_11.txt 299825 version: v4
synthetic_12.txt 28417188 version: v5
synthetic_97.txt 46694254 version: v5
synthetic_19.txt 129044 version: v1
synthetic_10.txt 17463 version: v1
synthetic_36.txt 163108 version: v1
synthetic_71.txt 95460 version: v1
synthetic_106.txt 41693379 version: v1
synthetic_100.txt 156794 version: v1
synthetic_63.txt 18869599 version: v2
synthetic_51.txt 126759 version: v2
synthetic_42.txt 29428308 version: v2
synthetic_70.txt 249881 version: v3
synthetic_4.txt 31581 version: v3
synthetic_50.txt 142479 version: v3
synthetic_42.txt 29428308 version: v3
synthetic_12.txt 28417188 version: v4
synthetic_97.txt 46694254 version: v4
synthetic_129.txt 65748 version: v5
synthetic_21.txt 11430241 version: v5
synthetic_66.txt 5527961 version: v5
synthetic_99.txt 144539 version: v1
synthetic_55.txt 65074 version: v1
synthetic_45.txt 1063158 version: v1
synthetic_7.txt 14286734 version: v1
synthetic_10.txt 17463 version: v2
synthetic_33.txt 13476596 version: v2
synthetic_87.txt 2968199 version: v2
synthetic_5.txt 28639 version: v3
synthetic_114.txt 107503 version: v3
deutsche_digitale_bibliothek.txt 50199772 version: v3
synthetic_85.txt 2597661 version: v3
synthetic_81.txt 211648 version: v3
synthetic_67.txt 6651708 version: v4
synthetic_24.txt 11035511 version: v4
synthetic_78.txt 1172441 version: v4
synthetic_83.txt 21618653 version: v5
synthetic_80.txt 137454 version: v5
synthetic_44.txt 280437 version: v5
synthetic_9.txt 1862373 version: v5
synthetic_63.txt 18869599 version: v1
synthetic_98.txt 213869 version: v1
synthetic_11.txt 299825 version: v1
synthetic_90.txt 177823 version: v2
synthetic_64.txt 94393 version: v2
synthetic_82.txt 93157 version: v2
synthetic_20.txt 29609807 version: v2
synthetic_99.txt 144539 version: v3
synthetic_93.txt 103408 version: v3
synthetic_3.txt 699047 version: v3
synthetic_84.txt 78976 version: v3
synthetic_18.txt 17024293 version: v3
synthetic_21.txt 11430241 version: v4
synthetic_2.txt 20774343 version: v4
synthetic_110.txt 3349547 version: v5
synthetic_69.txt 79479 version: v5
synthetic_74.txt 60018 version: v5
synthetic_87.txt 2968199 version: v5
synthetic_96.txt 366595 version: v1
synthetic_62.txt 205966 version: v1
synthetic_103.txt 2933849 version: v1
synthetic_91.txt 2362312 version: v2
synthetic_122.txt 195177 version: v2
synthetic_30.txt 2282117 version: v2
synthetic_84.txt 78976 version: v2
synthetic_27.txt 30573085 version: v2
synthetic_83.txt 21618653 version: v3
synthetic_80.txt 137454 version: v3
synthetic_88.txt 115353 version: v3
synthetic_124.txt 152432 version: v3
synthetic_75.txt 140755 version: v4
synthetic_129.txt 65748 version: v4
synthetic_70.txt 249881 version: v4
synthetic_31.txt 127202 version: v4
synthetic_44.txt 280437 version: v4
synthetic_91.txt 2362312 version: v5
synthetic_62.txt 205966 version: v5
synthetic_20.txt 29609807 version: v5
synthetic_137.txt 129405 version: v1
synthetic_64.txt 94393 version: v1
appalachian_regional_project.txt 78464 version: v1
synthetic_37.txt 15876 version: v1
synthetic_75.txt 140755 version: v2
synthetic_89.txt 9015 version: v2
synthetic_19.txt 129044 version: v2
synthetic_126.txt 658436 version: v2
synthetic_105.txt 8490233 version: v2
synthetic_78.txt 1172441 version: v2
synthetic_36.txt 163108 version: v3
synthetic_61.txt 128454 version: v3
synthetic_68.txt 268333 version: v3
synthetic_26.txt 226322 version: v3
synthetic_87.txt 2968199 version: v3
internet_archive_bulk_scanning.txt 14967982 version: v4
synthetic_29.txt 116926 version: v4
synthetic_13.txt 208710 version: v4
synthetic_38.txt 247504 version: v4
synthetic_49.txt 105309 version: v5
synthetic_48.txt 231592 version: v5
deutsche_digitale_bibliothek.txt 50199772 version: v5
new_york_public_library_system.txt 22529377 version: v5
synthetic_70.txt 249881 version: v1
synthetic_122.txt 195177 version: v1
synthetic_13.txt 208710 version: v1
synthetic_9.txt 1862373 version: v1
synthetic_107.txt 225474 version: v2
synthetic_29.txt 116926 version: v2
synthetic_11.txt 299825 version: v2
synthetic_90.txt 177823 version: v3
synthetic_119.txt 258437 version: v3
synthetic_120.txt 187715 version: v3
synthetic_27.txt 30573085 version: v3
deutsche_digitale_bibliothek.txt 50199772 version: v4
synthetic_92.txt 113425 version: v4
e_so_many_books.txt 5053618 version: v5
synthetic_79.txt 93566 version: v5
synthetic_54.txt 13231364 version: v5
synthetic_93.txt 103408 version: v1
synthetic_114.txt 107503 version: v1
synthetic_86.txt 1869245 version: v1
synthetic_115.txt 345277 version: v1
synthetic_125.txt 330735 version: v1
synthetic_85.txt 2597661 version: v1
synthetic_81.txt 211648 version: v1
synthetic_52.txt 154127 version: v2
synthetic_128.txt 260023 version: v2
synthetic_72.txt 104862 version: v2
synthetic_25.txt 244295 version: v2
synthetic_6.txt 82908 version: v2
synthetic_59.txt 104400 version: v3
synthetic_33.txt 13476596 version: v3
synthetic_66.txt 5527961 version: v3
synthetic_109.txt 120045 version: v4
synthetic_62.txt 205966 version: v4
synthetic_56.txt 956107 version: v4
synthetic_137.txt 129405 version: v5
synthetic_126.txt 658436 version: v5
synthetic_50.txt 142479 version: v5
synthetic_135.txt 217206 version: v5
synthetic_58.txt 33127 version: v1
synthetic_117.txt 15959081 version: v1
synthetic_25.txt 244295 version: v1
synthetic_27.txt 30573085 version: v1
synthetic_36.txt 163108 version: v2
synthetic_61.txt 128454 version: v2
synthetic_4.txt 31581 version: v2
synthetic_50.txt 142479 version: v2
synthetic_120.txt 187715 version: v2
synthetic_124.txt 152432 version: v2
synthetic_75.txt 140755 version: v3
c_incunabula.txt 5689822 version: v3
synthetic_98.txt 213869 version: v3
new_york_public_library_system.txt 22529377 version: v3
synthetic_139.txt 117382 version: v4
synthetic_28.txt 144799 version: v4
synthetic_72.txt 104862 version: v4
synthetic_77.txt 10033866 version: v4
synthetic_59.txt 104400 version: v5
synthetic_101.txt 152994 version: v5
synthetic_122.txt 195177 version: v5
synthetic_15.txt 49747 version: v5
synthetic_126.txt 658436 version: v1
d_tough_choices.txt 5028530 version: v1
synthetic_130.txt 226911 version: v3
synthetic_139.txt 117382 version: v3
synthetic_71.txt 95460 version: v3
synthetic_111.txt 963371 version: v3
synthetic_122.txt 195177 version: v3
synthetic_77.txt 10033866 version: v3
synthetic_40.txt 236992 version: v4
synthetic_57.txt 81047 version: v4
synthetic_95.txt 171405 version: v4
synthetic_131.txt 308804 version: v4
synthetic_112.txt 169254 version: v4
synthetic_102.txt 92691 version: v4
synthetic_130.txt 226911 version: v5
synthetic_34.txt 6065254 version: v5
synthetic_26.txt 226322 version: v5
synthetic_127.txt 100386 version: v5
b_read_on.txt 5822900 version: v5
synthetic_14.txt 17852 version: v1
synthetic_33.txt 13476596 version: v1
new_york_public_library_system.txt 22529377 version: v1
synthetic_93.txt 103408 version: v2
synthetic_21.txt 11430241 version: v2
synthetic_135.txt 217206 version: v2
e_so_many_books.txt 5056540 version: v3
synthetic_131.txt 308804 version: v3
synthetic_92.txt 113425 version: v3
synthetic_99.txt 144539 version: v4
synthetic_36.txt 163108 version: v4
synthetic_107.txt 225474 version: v4
synthetic_69.txt 79479 version: v4
new_york_public_library_system.txt 22529377 version: v4
synthetic_93.txt 103408 version: v5
synthetic_3.txt 699047 version: v5
synthetic_23.txt 261720 version: v5
synthetic_78.txt 1172441 version: v5
synthetic_34.txt 6065254 version: v1
synthetic_69.txt 79479 version: v1
synthetic_66.txt 5527961 version: v1
synthetic_73.txt 207169 version: v2
synthetic_41.txt 3884976 version: v2
synthetic_127.txt 100386 version: v2
synthetic_18.txt 17024293 version: v2
synthetic_21.txt 11430241 version: v3
synthetic_74.txt 60018 version: v3
synthetic_135.txt 217206 version: v3
synthetic_22.txt 121336 version: v4
synthetic_63.txt 18869599 version: v4
synthetic_51.txt 126759 version: v4
synthetic_74.txt 60018 version: v4
synthetic_127.txt 100386 version: v4
synthetic_18.txt 17024293 version: v4
synthetic_10.txt 17463 version: v5
synthetic_94.txt 2870318 version: v5
synthetic_2.txt 20774343 version: v5
synthetic_108.txt 9614939 version: v1
synthetic_35.txt 163375 version: v1
vatican_secret_archives_project.txt 2544059 version: v1
synthetic_53.txt 291277 version: v1
synthetic_110.txt 3349547 version: v2
synthetic_116.txt 27869014 version: v2
synthetic_121.txt 48041 version: v3
synthetic_128.txt 260023 version: v3
synthetic_125.txt 330735 version: v3
synthetic_6.txt 82908 version: v3
synthetic_73.txt 207169 version: v4
synthetic_119.txt 258437 version: v4
synthetic_25.txt 244295 version: v4
synthetic_75.txt 140755 version: v5
synthetic_109.txt 120045 version: v5
synthetic_68.txt 268333 version: v5
synthetic_13.txt 208710 version: v5
synthetic_8.txt 213202 version: v5
oxford_bodleian_archives.txt 7979867 version: v1
synthetic_50.txt 142479 version: v1
synthetic_80.txt 137454 version: v1
synthetic_127.txt 100386 version: v1
synthetic_102.txt 92691 version: v1
synthetic_17.txt 108058 version: v2
synthetic_109.txt 120045 version: v2
synthetic_31.txt 127202 version: v2
synthetic_85.txt 2597661 version: v2
synthetic_81.txt 211648 version: v2
synthetic_137.txt 129405 version: v3
synthetic_12.txt 28417188 version: v3
synthetic_25.txt 244295 version: v3
b_read_on.txt 5822900 version: v3
synthetic_114.txt 107503 version: v4
synthetic_118.txt 66979 version: v4
synthetic_111.txt 963371 version: v4
synthetic_68.txt 268333 version: v4
synthetic_30.txt 2282117 version: v4
synthetic_23.txt 261720 version: v4
synthetic_53.txt 291277 version: v4
synthetic_99.txt 144539 version: v5
synthetic_139.txt 117382 version: v5
synthetic_118.txt 66979 version: v5
synthetic_31.txt 127202 version: v5
synthetic_11.txt 299825 version: v5
synthetic_89.txt 9015 version: v1
synthetic_90.txt 177823 version: v1
deutsche_digitale_bibliothek.txt 50199772 version: v1
synthetic_76.txt 223621 version: v1
f_libraries_of_the_world.txt 5348248 version: v1
synthetic_71.txt 95460 version: v2
synthetic_104.txt 6603896 version: v2
b_read_on.txt 5822900 version: v2
synthetic_57.txt 81047 version: v3
synthetic_95.txt 171405 version: v3
synthetic_72.txt 104862 version: v3
synthetic_97.txt 46694254 version: v3
synthetic_89.txt 9015 version: v4
oxford_bodleian_archives.txt 7979867 version: v4
appalachian_regional_project.txt 78464 version: v4
synthetic_132.txt 1476857 version: v4
synthetic_95.txt 171405 version: v5
synthetic_131.txt 308804 version: v5
synthetic_65.txt 132057 version: v5
synthetic_18.txt 17024293 version: v5
synthetic_139.txt 117382 version: v1
synthetic_94.txt 2870318 version: v1
synthetic_2.txt 20774343 version: v1
synthetic_48.txt 231592 version: v2
deutsche_digitale_bibliothek.txt 50199772 version: v2
synthetic_76.txt 223621 version: v2
synthetic_37.txt 15876 version: v2
synthetic_17.txt 108058 version: v3
synthetic_48.txt 231592 version: v3
synthetic_55.txt 65074 version: v3
synthetic_62.txt 205966 version: v3
synthetic_51.txt 126759 version: v3
synthetic_32.txt 69150 version: v3
synthetic_134.txt 131286 version: v3
synthetic_47.txt 6788341 version: v3
synthetic_33.txt 13476596 version: v4
synthetic_76.txt 223621 version: v4
synthetic_37.txt 15876 version: v4
synthetic_9.txt 1862373 version: v4
synthetic_45.txt 1063158 version: v5
vatican_secret_archives_project.txt 2544059 version: v5
synthetic_38.txt 247504 version: v5
synthetic_49.txt 105309 version: v1
synthetic_83.txt 21618653 version: v1
synthetic_74.txt 60018 version: v1
synthetic_87.txt 2968199 version: v1
synthetic_58.txt 33127 version: v2
synthetic_114.txt 107503 version: v2
synthetic_118.txt 66979 version: v2
d_tough_choices.txt 5028530 version: v2
synthetic_113.txt 47211 version: v4
synthetic_19.txt 129044 version: v4
synthetic_43.txt 94235 version: v4
synthetic_83.txt 21618653 version: v4
synthetic_80.txt 137454 version: v4
synthetic_134.txt 131286 version: v4
synthetic_6.txt 82908 version: v4
synthetic_113.txt 47211 version: v5
synthetic_19.txt 129044 version: v5
synthetic_43.txt 94235 version: v5
synthetic_33.txt 13476596 version: v5
synthetic_42.txt 29428308 version: v5
